Vessel Name,Vessel Size,Open Port,Open Date,Category,Cargo Name,Loading Port,Discharge Port,Laycan,Account Name,Delivery Port,Redelivery Port,Duration
SHENG AN HAI,56564,"XIAMEN, china",2ND JUNE 2026,TONNAGE,,,,,,,,
FENG HUI HAI,63260,"GUANGZHOU, CHINA",6TH JUNE 2026,TONNAGE,,,,,,,,
YUANPING SEA,55646,"MANILA, PHI",3RD JUNE 2026,TONNAGE,,,,,,,,
SHENG DE HAI,56721,"SAMALAJU, MALAYSIA",3RD JUNE 2026,TONNAGE,,,,,,,,
BI JIA SHAN,56623,"GWADAR, PAKISTAN",2ND JUNE 2026,TONNAGE,,,,,,,,
yuanning sea,55580,"SOHAR, OMAN",30TH may 2026,TONNAGE,,,,,,,,
COS ORCHID,55550,"DAR ES SALAAM, TANZANIA",1ST JUNE 2026,TONNAGE,,,,,,,,
,,,,CARGO_VC,"15,000 - 20,000 MTS 10PCT MOLOCHOPT","KOH SI CHANG , THAILAND",KANDLA + CHENNAI,MID JULY 2026,,,,
,,,,CARGO_VC,"20 000  mt HRC  max 28,5 mt",Jeddah,Bilbao,25 June - 5 July try later,,,,
,,,,CARGO_VC,Iron Slag,Bushehr,Doha,25-30 july,,,,
,,,,CARGO_VC,Urea,BIk,Iskenderun or Durban,16-20 July,,,,
,,,,CARGO_TC,Grains,,,10-17 June,DAI AN OCEAN SHIPPING COMPANY LIMITED,Vancouver,Chittagong,1 TCT
,,,,CARGO_TC,Clinker,,,29-2 June,DAI AN OCEAN SHIPPING COMPANY LIMITED,"Sangatta, Indonesia",Bangladesh,30 Days
,,,,CARGO_TC,Steels/Gens/Lawfuls,,,15-18 July,SeaSchiffe,ECI,Med via GOA transit,35-40 days
,,,,CARGO_TC,Steels/Gens/Lawfuls,,,21-23 July,SeaSchiffe,ECI,ARAG via COGH transit,50-55 days
